 	 ABB 	 ABB 	 ABB 	 AVL 	 AVL 	 AVL
MÉDIA: 	 9.14 	 6.32 	 12.78 	 8.16 	 8.14 	 12.24
 	 	 	 	 	 	 
# item 	 Conj. Menor 	 Conj. Maior 	 Conj. Interno 	 Conj. Menor 	 Conj. Maior 	 Conj. Interno
1 	 3 	 1 	 13 	 8 	 8 	 12
2 	 4 	 2 	 12 	 1 	 2 	 11
3 	 5 	 3 	 15 	 8 	 11 	 13
4 	 6 	 4 	 14 	 3 	 6 	 12
5 	 7 	 4 	 13 	 2 	 13 	 10
6 	 5 	 5 	 17 	 4 	 4 	 13
7 	 6 	 2 	 16 	 9 	 7 	 12
8 	 6 	 3 	 17 	 7 	 4 	 13
9 	 8 	 4 	 15 	 3 	 7 	 11
10 	 9 	 6 	 18 	 6 	 8 	 13
11 	 7 	 7 	 17 	 10 	 11 	 12
12 	 10 	 3 	 18 	 4 	 10 	 13
13 	 9 	 5 	 16 	 6 	 9 	 9
14 	 8 	 5 	 18 	 8 	 7 	 13
15 	 11 	 5 	 17 	 9 	 5 	 12
16 	 7 	 6 	 14 	 7 	 9 	 13
17 	 6 	 4 	 15 	 9 	 6 	 14
18 	 10 	 7 	 11 	 10 	 4 	 11
19 	 8 	 8 	 12 	 8 	 12 	 13
20 	 9 	 6 	 15 	 11 	 3 	 14
21 	 8 	 6 	 14 	 13 	 5 	 12
22 	 8 	 8 	 13 	 5 	 11 	 13
23 	 7 	 9 	 14 	 11 	 3 	 14
24 	 10 	 6 	 10 	 6 	 13 	 10
25 	 10 	 10 	 14 	 12 	 8 	 13
26 	 9 	 7 	 6 	 14 	 9 	 10
27 	 9 	 10 	 8 	 4 	 7 	 13
28 	 11 	 9 	 9 	 6 	 10 	 12
29 	 11 	 5 	 11 	 8 	 12 	 14
30 	 12 	 7 	 10 	 8 	 6 	 13
31 	 10 	 6 	 7 	 13 	 13 	 11
32 	 10 	 8 	 12 	 15 	 5 	 13
33 	 10 	 9 	 11 	 11 	 9 	 12
34 	 11 	 6 	 10 	 11 	 11 	 9
35 	 11 	 6 	 14 	 11 	 12 	 13
36 	 12 	 7 	 15 	 12 	 10 	 12
37 	 11 	 7 	 13 	 5 	 9 	 13
38 	 8 	 8 	 14 	 12 	 9 	 14
39 	 9 	 8 	 12 	 5 	 10 	 11
40 	 13 	 7 	 11 	 8 	 8 	 13
41 	 8 	 7 	 14 	 8 	 8 	 14
42 	 12 	 8 	 13 	 8 	 11 	 12
43 	 12 	 7 	 12 	 9 	 5 	 13
44 	 14 	 9 	 9 	 9 	 8 	 10
45 	 9 	 8 	 10 	 8 	 8 	 13
46 	 13 	 7 	 8 	 7 	 8 	 12
47 	 9 	 8 	 10 	 9 	 7 	 11
48 	 12 	 8 	 12 	 14 	 13 	 13
49 	 9 	 6 	 11 	 6 	 5 	 12
50 	 15 	 9 	 9 	 7 	 8 	 13
